('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         751453 function calls (730916 primitive calls) in 1.801 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2753    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
     2754    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
      156    0.000    0.000    0.001    0.000 typing.py:175(_type_check)
     1107    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     1415    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     2606    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
    160/4    0.000    0.000    0.647    0.162 <frozen importlib._bootstrap_external>:989(exec_module)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      480    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
  187/183    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      349    0.000    0.000    0.000    0.000 typing.py:1188(__setattr__)
      188    0.000    0.000    0.025    0.000 _compiler.py:573(_code)
       66    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      212    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
      146    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      488    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      353    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
     1458    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      481    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      252    0.000    0.000    0.116    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     2515    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
      188    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
  208/174    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      719    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      331    0.000    0.000    0.927    0.003 ssl.py:1095(read)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
      169    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       74    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       54    0.000    0.000    0.001    0.000 typing.py:1242(__init__)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      488    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
     1059    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1670    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
  557/539    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      120    0.000    0.000    0.001    0.000 _markupbase.py:165(parse_comment)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        1    0.000    0.000    0.016    0.016 packages.py:1(<module>)
  161/158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        6    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
       49    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      807    0.000    0.000    0.000    0.000 element.py:1543(get)
     1059    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      160    0.000    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       24    0.000    0.000    0.000    0.000 enum.py:254(__set_name__)
      414    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      640    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       43    0.000    0.000    0.204    0.005 response.py:1173(read_chunked)
      731    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      174    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
       22    0.000    0.000    0.001    0.000 enum.py:528(__new__)
      192    0.000    0.000    0.242    0.001 <frozen importlib._bootstrap_external>:1520(find_spec)
      595    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      232    0.000    0.000    0.106    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      301    0.000    0.000    0.072    0.000 __init__.py:226(compile)
       99    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
      407    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.010    0.010 pathlib.py:1(<module>)
      331    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
